name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
Veentus Dealsure Professional Hair Curler Iron Rod Brush Styler for Women Professional Hair Curler Tong with Machine Stick...,beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/61rS3WRPWjL._AC_UL320_.jpg,https://www.amazon.in/Veentus-Dealsure-Professional-Curler-Machine/dp/B0BSR13TJL/ref=sr_1_529?qid=1679215838&s=hpc&sr=1-529,4.3,3,₹499,"₹1,999",7745
Dharm Enterprise Professional 1800 Watt Hair Dryer NV - 6130 Hot&Cold (Multi color),beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/71xjglM+fTL._AC_UL320_.jpg,https://www.amazon.in/Dharm-Enterprise-Professional-Dryer-6130/dp/B09VKY84P9/ref=sr_1_530?qid=1679215838&s=hpc&sr=1-530,5.0,1,₹470,₹999,7746
"Hewan Hair Straightener Brush, Hair Straightening Iron Built with Comb, Fast Heating & 5 Temp Settings & Anti-Scald, Perfe...",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/31yG3lhro1L._AC_UL320_.jpg,https://www.amazon.in/Hewan-Straightener-Straightening-Anti-Scald-Professional/dp/B09WV262JH/ref=sr_1_531_mod_primary_new?qid=1679215838&s=hpc&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-531,1.8,5,₹380,"₹1,000",7747
"iGRiD 3 in 1 women Epilator,Shaver,Callus remover | Rechargeable | Three Interchangeable Heads | Epilator | Shaver | Callu...",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/51ipqFbfdRL._AC_UL320_.jpg,https://www.amazon.in/iGRiD-Epilator-remover-Rechargeable-Interchangeable/dp/B09CTMPRJ9/ref=sr_1_532?qid=1679215838&s=hpc&sr=1-532,3.6,69,"₹2,999","₹4,499",7748
mini nova hair dryer,beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/51qoX4vaBpL._AC_UL320_.jpg,https://www.amazon.in/Generic-mini-nova-hair-dryer/dp/B09GKQNCY9/ref=sr_1_533?qid=1679215838&s=hpc&sr=1-533,1.0,1,₹227,₹999,7749
"Philips Cordless Electric Shaver S3122/55, 5D Pivot & Flex Heads & BT3231/15 Smart Beard Trimmer - Power adapt technology ...",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/51rmIKX65bL._AC_UL320_.jpg,https://www.amazon.in/Philips-Cordless-Electric-Shaver-Trimmer/dp/B0BHHZ95K8/ref=sr_1_534?qid=1679215838&s=hpc&sr=1-534,4.1,"2,657","₹5,394","₹5,990",7750
"RYLLZ ESSENTIALS Rosehip Carrier Oil (100ml) | Reduces (Wrinkles, Fine Lines, Pigmentation & Scarring) & Skin Brightening...",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/61tVqSOB92L._AC_UL320_.jpg,https://www.amazon.in/RYLLZ-ESSENTIALS-Rosehip-Carrier-Oil/dp/B09Z4NKPNF/ref=sr_1_535?qid=1679215838&s=hpc&sr=1-535,4.5,43,₹627,₹979,7751
"Generic Hair Straightener, Hair Straightener Comb for Women & Men, Hair Styler, Straightener Brush Comb - (Pack of 1) Green",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/31eQb0KAHoL._AC_UL320_.jpg,https://www.amazon.in/Generic-Straightener-Women-Styler-Brush/dp/B0BY6M9WNX/ref=sr_1_536?qid=1679215838&s=hpc&sr=1-536,,,₹299,₹499,7752
Amazpro 5 in 1 Hair Dryer Air Brush Styler and Volumizer Hair Straightener Curler Comb Negative Ion One Step Hair Dryer Brush,beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/61bjDMrb6HL._AC_UL320_.jpg,https://www.amazon.in/Amazpro-Styler-Volumizer-Straightener-Negative/dp/B0BGZPMLFT/ref=sr_1_537?qid=1679215838&s=hpc&sr=1-537,1.9,7,"₹1,999","₹3,999",7753
"VEGA Professional Dry 2200-2400W Hair Dryer for Men & Women with Cool Shot Button and 3 Heat & 2 Speed Settings, Black, (V...",beauty & health,Personal Care Appliances,https://m.media-amazon.com/images/I/613wBwOSkvL._AC_UL320_.jpg,https://www.amazon.in/VEGA-Professional-2200-2400W-Settings-VPMHD-03/dp/B0BFHWGYGZ/ref=sr_1_538?qid=1679215838&s=hpc&sr=1-538,3.7,7,"₹2,949","₹3,500",7754
