name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
Teknik Cricket Panama Sun Hat with Mesh Extra Wide Brim,sports & fitness,Cricket,https://m.media-amazon.com/images/I/81v7HYFEHpL._AC_UL320_.jpg,https://www.amazon.in/Teknik-Zenith-Cricket-Panama-X-Large/dp/B083FWGKRX/ref=sr_1_337?qid=1679216675&s=sports&sr=1-337,3.9,36,₹449,₹649,3101
JetFire Men's Ibex College Combo Wicket Keeping Gloves with Inner (Black),sports & fitness,Cricket,https://m.media-amazon.com/images/I/61wbnLhkTvL._AC_UL320_.jpg,https://www.amazon.in/JetFire-College-Wicket-Keeping-Gloves/dp/B07P96DVD3/ref=sr_1_338?qid=1679216675&s=sports&sr=1-338,4.2,25,₹699,"₹2,199",3102
SXV STYLE Unisex Poly Cotton Hooded Neck Hoodies,sports & fitness,Cricket,https://m.media-amazon.com/images/I/41vB+ZuEMML._AC_UL320_.jpg,https://www.amazon.in/SXV-STYLE-Sweatshirt-Solid_Sweatshirt-__Brown_XL/dp/B0BG3251H6/ref=sr_1_339?qid=1679216675&s=sports&sr=1-339,3.7,19,₹750,"₹1,500",3103
"Gyronax Cricket Bat Coail Grips(2pcs Coail Grip, Colour May be Vary) with 1 Wooden Grip Applicator Cone, Pack of 1",sports & fitness,Cricket,https://m.media-amazon.com/images/I/41+6v9UzRTL._AC_UL320_.jpg,https://www.amazon.in/Gyronax-Cricket-Colour-Wooden-Applicator/dp/B09TY2MQ8X/ref=sr_1_340?qid=1679216675&s=sports&sr=1-340,3.2,27,₹210,₹399,3104
"JUNEBERRY Women Sweatshirt with Hoodies, Fleece Material Full Sleeves Jumper Women Winter Wear, Hooded Neck Regular Fit Lo...",sports & fitness,Cricket,https://m.media-amazon.com/images/I/61k3iwn5BwL._AC_UL320_.jpg,https://www.amazon.in/JUNEBERRY-Womens-Cotton-Hoodies-W02_JB_PINK_M_Pink_Medium/dp/B08LQ867YN/ref=sr_1_341?qid=1679216675&s=sports&sr=1-341,4.0,"2,955",₹699,"₹1,999",3105
"Parth Full Size 32"" Heavy Plastic Cricket Full Stump Set",sports & fitness,Cricket,https://m.media-amazon.com/images/I/51bM3NppMuL._AC_UL320_.jpg,https://www.amazon.in/Parth-Heavy-Plastic-Cricket-Yellow/dp/B09L8GDV4G/ref=sr_1_342?qid=1679216675&s=sports&sr=1-342,4.3,51,₹330,"₹2,099",3106
"Task Leather Cricket Hanging Ball for Practice and Bat Knocking (Red) , Standard Size",sports & fitness,Cricket,https://m.media-amazon.com/images/I/41GBFLViD1L._AC_UL320_.jpg,https://www.amazon.in/Leather-Cricket-Hanging-Practice-Knocking/dp/B0861DVMSM/ref=sr_1_343?qid=1679216675&s=sports&sr=1-343,3.7,68,₹225,₹699,3107
"JetFire Ibex College Cricket Wicket Keeping Gloves Combo with Inner Cotton Gloves (Men, Green)",sports & fitness,Cricket,https://m.media-amazon.com/images/I/610V0o8jkxL._AC_UL320_.jpg,https://www.amazon.in/JetFire-College-Wicket-Keeping-Gloves/dp/B07X35SQ9R/ref=sr_1_344?qid=1679216675&s=sports&sr=1-344,3.7,111,₹799,"₹1,999",3108
Puma Unisex-Adult Cap,sports & fitness,Cricket,https://m.media-amazon.com/images/I/51F8YQHUniL._AC_UL320_.jpg,https://www.amazon.in/Puma-2402002-Unisexs-Cap-2402002_White/dp/B0B5HL9N9S/ref=sr_1_345?qid=1679216675&s=sports&sr=1-345,4.6,16,₹899,"₹1,999",3109
GM Wooden Octane Mini Cricket Bat (Not meant for playing - Souvenir bat),sports & fitness,Cricket,https://m.media-amazon.com/images/I/51FIvmdMFsL._AC_UL320_.jpg,https://www.amazon.in/GM-Mini-Cricket-Bat-playing/dp/B00INTOOUW/ref=sr_1_346?qid=1679216675&s=sports&sr=1-346,3.0,287,,₹199,3110
