name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"SAF Watercolor Modern Art Painting (Synthetic, 12 inch x 18 inch, Set of 3) SANFJMA9201-Multicolour",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71FrfP2W9oL._AC_UL320_.jpg,https://www.amazon.in/SAF-Watercolor-Modern-Painting-Synthetic/dp/B07XL2WGTG/ref=sr_1_1112?qid=1679213439&s=kitchen&sr=1-1112,3.9,663,₹159,"₹1,199",5100
Sohibe Multicolored Birds Handmade Hand Emboss Painted Bird Hanging for Garden Balcony Home Office Cafe Decoration Main Do...,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/81VKbGSZLBL._AC_UL320_.jpg,https://www.amazon.in/Sohibe-Multicolored-Handmade-Decoration-Decorative/dp/B0B699DYTV/ref=sr_1_1113?qid=1679213439&s=kitchen&sr=1-1113,4.5,49,₹459,₹999,5101
"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Melanie (Silent Movement, Black Frame)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71OjagLw6oL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-12-inch-Melanie-Movement/dp/B08GKZM1PV/ref=sr_1_1114?qid=1679213439&s=kitchen&sr=1-1114,4.0,416,₹449,"₹1,100",5102
SAF 6MM Ganesha Set of 3 Panel Digital Reprint 12 inch x 18 inch Painting SANFJM1003 Multicolor,home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71-zYGlY8+L._AC_UL320_.jpg,https://www.amazon.in/SAF-Ganesha-Digital-Painting-SANFJM1003/dp/B084JJD5CJ/ref=sr_1_1115?qid=1679213439&s=kitchen&sr=1-1115,4.3,433,₹199,₹899,5103
"KUMAR INDUSTRIES Kumar Industries Wall Decorative Iron Flowers (Multicolour)(Artificial, 1.)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61fk4qFRq3L._AC_UL320_.jpg,https://www.amazon.in/KUMAR-INDUSTRES-Iron-Flowers-Decorative/dp/B08T831ZML/ref=sr_1_1116?qid=1679213439&s=kitchen&sr=1-1116,4.3,558,"₹1,900","₹2,349",5104
"S K D Pure Original Natural Loban (100 gm), Sambrani Benzoin Herbal Dhoop for Pooja, Hawan, Home Fragrance",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/814xzsrikLL._AC_UL320_.jpg,https://www.amazon.in/SKD%C2%AEPure-Original-Natural-Loban-Sambrani-Benzoin/dp/B09RW7XTJN/ref=sr_1_1117?qid=1679213439&s=kitchen&sr=1-1117,3.4,25,₹55,₹299,5105
Shubhkart Nirmal Raatrani Agarbatti Zipper and Rajanigandha Agarbatti Zipper - 9 Inch Long Sticks (Combo of 2),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61k1OI9AsOL._AC_UL320_.jpg,https://www.amazon.in/Shubhkart-Nirmal-Raatrani-Agarbatti-Rajanigandha/dp/B0B9MV1CJJ/ref=sr_1_1118?qid=1679213439&s=kitchen&sr=1-1118,3.9,3,₹123,₹130,5106
FIFA World Cup Trophy (Replica),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/71iHP+Y6EfL._AC_UL320_.jpg,https://www.amazon.in/FIFA-World-Cup-Trophy-Replica/dp/B0BP6LBK44/ref=sr_1_1119?qid=1679213439&s=kitchen&sr=1-1119,3.9,14,,₹899,5107
BHAJANLAL GREENERY Vastu Hawan Sambrani Cups for Holistic Atmosphere & Fresh Mind. (Pack of 24 Cups),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/31ZpG6uIT1L._AC_UL320_.jpg,https://www.amazon.in/Vastu-Hawan-Sambrani-Holistic-Atmosphere/dp/B08TVWS3B4/ref=sr_1_1120?qid=1679213439&s=kitchen&sr=1-1120,3.5,132,₹184,₹200,5108
Pure Source India Handcrafted Soapstone Aroma Burner Oil Diffuser and 1 Tea Light Candle (Natural) (Natural),home & kitchen,Home Décor,https://m.media-amazon.com/images/I/61VS67GKroL._AC_UL320_.jpg,https://www.amazon.in/Pure-Source-India-Handcrafted-Soapstone/dp/B07D75F4L5/ref=sr_1_1121?qid=1679213439&s=kitchen&sr=1-1121,4.1,"1,108",₹399,₹999,5109
