name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"Mamaearth Natural Repellent Mosquito Patches For Babies with 12 Hour Protection,White,Pack of 1",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/81X9maTp4cL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Natural-Repellent-Mosquito-Patches/dp/B07D5YN8JK/ref=sr_1_121?qid=1679219575&s=baby&sr=1-121,3.9,"3,169",₹152,₹199,1301
"Kotex Overnight Period Panties (Medium/Large size, pack of 10 panties) for heavy flow period protection | with 360 degree ...",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51E-YoMK6SL._AC_UL320_.jpg,https://www.amazon.in/Kotex-Overnight-Periodwear-Sanitary-Protection/dp/B07H7VSG1J/ref=sr_1_122?qid=1679219575&s=baby&sr=1-122,4.4,"5,121",₹369,₹450,1302
"Mamaearth Mineral Based Sunscreen Baby Lotion SPF 20+,Hypoallergenic,100ml,(0-10 Years)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61dcGPrkFGL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Mineral-Based-Sunscreen-100/dp/B01N0KOM5M/ref=sr_1_123?qid=1679219575&s=baby&sr=1-123,4.1,"6,953",₹214,₹299,1303
Himalaya Gentle Baby Wash (400ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61yJP3LIksS._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Gentle-Baby-Bath-400ml/dp/B01N32GD33/ref=sr_1_124?qid=1679219575&s=baby&sr=1-124,4.3,"17,468",₹211,₹265,1304
"Cable World® Musical Keyboard Mat Piano Gym Mat Gym & Fitness Rack,Pack of 1 set, Muticolor",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51gNxhegXtL._AC_UL320_.jpg,https://www.amazon.in/Cable-World-Musical-Keyboard-Assorted/dp/B07TCPBJK6/ref=sr_1_125?qid=1679219575&s=baby&sr=1-125,3.8,"10,574","₹1,099","₹2,599",1305
Himalaya Baby Lotion 700ml,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61VWVhvTqDL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-7004425-Baby-Lotion-700ml/dp/B082VW8DYB/ref=sr_1_126?qid=1679219575&s=baby&sr=1-126,4.4,"7,182",₹386,₹480,1306
Mother Sparsh 99% Pure Water (Unscented) baby wipes I Natural Plant made cloth - Super thick I 72 pcs/pack - Pack of 2 (Su...,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51D1dqFPOnL._AC_UL320_.jpg,https://www.amazon.in/Mother-Sparsh-Water-Wipes-Unscented/dp/B07JPGWH5R/ref=sr_1_127?qid=1679219575&s=baby&sr=1-127,4.5,"4,056",₹399,₹568,1307
"Luv Lap Liquid Cleanser Refill, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories And Vegetables, 1000ml (Clear)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71VHtAW2auS._AC_UL320_.jpg,https://www.amazon.in/Anti-Bacterial-Bottles-Accessories-Vegetable-Cleanser/dp/B01N362DN7/ref=sr_1_128?qid=1679219575&s=baby&sr=1-128,4.4,"6,544",₹359,₹479,1308
Mother Sparsh 99% Pure Water (Unscented) Baby Wipes I Natural Plant Made Cloth - Super Thick I 72 pcs/Pack - Pack of 3,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51vQEfdSUaL._AC_UL320_.jpg,https://www.amazon.in/Mother-Sparsh-Water-Unscented-Natural/dp/B0892JZ8ZR/ref=sr_1_129?qid=1679219575&s=baby&sr=1-129,4.5,"6,627",₹598,₹897,1309
"Nestlé NAN PRO 2 Follow-up Formula Powder - After 6 months, Up to 12 months, Stage 2, 400g Bag-In-Box Pack",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71J3vYAS4iL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Nan-Pro-Follow-Up-Formula/dp/B00MVVEREQ/ref=sr_1_130?qid=1679219575&s=baby&sr=1-130,4.5,"4,817",,₹740,1310
Bio-Oil Original Face & Body Oil Suitable for Scar Removal | Uneven Skin Tone| Stretch Marks & Ageing Signs for Glowing Sk...,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71vvWBHAVxL._AC_UL320_.jpg,https://www.amazon.in/Bio-Oil-PACIFIC357160-Body-Oil-125ml/dp/B01IMU5BX0/ref=sr_1_131?qid=1679219575&s=baby&sr=1-131,4.1,"35,284",₹553,₹790,1311
"Huggies Complete Comfort Wonder Pants, Extra Small (0-5kg) Size Baby Diaper Pants, (24 count) with 5 in 1 Comfort",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61id0d+adnL._AC_UL320_.jpg,https://www.amazon.in/Huggies-Wonder-Pants-Extra-Diaper/dp/B07JVTFGVV/ref=sr_1_132?qid=1679219575&s=baby&sr=1-132,4.2,"215,914",,₹199,1312
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink )",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51AeNwFhGdL._AC_UL320_.jpg,https://www.amazon.in/Babique-Unicorn-Stuffed-Plush-Birthday/dp/B08LTGVND9/ref=sr_1_133?qid=1679219575&s=baby&sr=1-133,4.1,"5,325",₹175,₹699,1313
"Mamaearth Daily Moisturizing Lotion, 200ml",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61icl+aY5mL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Daily-Moisturizing-Lotion-200ml/dp/B01N1M5FRR/ref=sr_1_134?qid=1679219575&s=baby&sr=1-134,4.2,"11,080",₹152,₹199,1314
