name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
Skybags Treble-FIFA 68cm Printed Polycarbonate Hardsided Medium Luggage 8 Wheel Anti Theft Zipper Blue & White Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71C5GfgxW2L._AC_UL320_.jpg,https://www.amazon.in/Skybags-Treble-FIFA-Printed-Polycarbonate-Hardsided/dp/B0BJ4FHPZC/ref=sr_1_625?qid=1679218890&s=luggage&sr=1-625,4.5,2,"₹7,250","₹14,500",9269
Tommy Hilfiger Plastic Hard 66 cms Luggage (8903496149791_Green),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41lIioNQ3NS._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Luggage-8903496149791-47X26X65/dp/B093L8CBHX/ref=sr_1_626?qid=1679218890&s=luggage&sr=1-626,3.6,70,"₹6,399","₹7,999",9270
Samsonite Polyester Hard 68 Cms Luggage- Suitcase(Kd8 (0) 09 I02_Black),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71XSVc5fxgL._AC_UL320_.jpg,https://www.amazon.in/Samsonite-Polyester-Luggage-09-I02_Black/dp/B0BCVYC5K5/ref=sr_1_627?qid=1679218890&s=luggage&sr=1-627,4.0,5,"₹12,220","₹18,800",9271
Skybags Polycarbonate Hard 21 Cms Suitcase(_Blue),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51euSZMWAnL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Combo-Polycarbonate-Hardsided-Check/dp/B091DJHRFN/ref=sr_1_628?qid=1679218890&s=luggage&sr=1-628,4.4,66,"₹6,648","₹10,043.04",9272
Skybags Game-ON FIFA 79cm Printed Polycarbonate Hardsided Large Luggage 4 Wheel Yellow & Green Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/710caoNQ4XL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Printed-Polycarbonate-Hardsided-Luggage/dp/B0BJ4NCPXY/ref=sr_1_629?qid=1679218890&s=luggage&sr=1-629,4.3,5,"₹6,850","₹17,400",9273
"OBANI Faux Leather Mini Briefcase Brown. Dimensions: 12"" x 8"" x 3"" (L x W x H)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81MohdDYVPL._AC_UL320_.jpg,https://www.amazon.in/OBANI-Faux-Leather-Briefcase-Brown/dp/B07B854YJ2/ref=sr_1_630?qid=1679218890&s=luggage&sr=1-630,,,"₹2,299","₹3,600",9274
"American Tourister Krypton Strolly 69Cm, Red Polycarbonate Expandable Hard Suitcase",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61Q19URNH6L._AC_UL320_.jpg,https://www.amazon.in/American-tourister-Krypton-69cm-Red/dp/B09SLDT9GF/ref=sr_1_631?qid=1679218890&s=luggage&sr=1-631,2.8,2,"₹5,798","₹12,500",9275
Fiable Cleantech FPT 150 Platform Trolley | Wheeled Trolley | 150 Kg Load Capacity Platform Trolley | Push Trolley | Porta...,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/31kY5ceAf8S._AC_UL320_.jpg,https://www.amazon.in/Fiable-Cleantech-Platform-Capacity-Portable/dp/B097SXBZVZ/ref=sr_1_632?qid=1679218890&s=luggage&sr=1-632,3.4,15,"₹2,989","₹9,999",9276
TRUMPKIN / Medium Size / Check in-Luggage / Polyester / Softsided / 2 Wheel Trolley / Single Bag / 66cm / Qty 1 / Scottish...,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81yE-aYX1uL._AC_UL320_.jpg,https://www.amazon.in/Polyster-Softside-Small-Luggage-Trolley/dp/B09Q91DY31/ref=sr_1_633?qid=1679218890&s=luggage&sr=1-633,4.2,20,"₹1,249","₹2,250",9277
"AmazonBasics Geometric Travel Luggage Expandable Spinner Suitcase with Wheels and Built-In TSA Lock, 28 Inch - Cream",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71DW1stVnvL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Geometric-Luggage-28-Inch-Cream/dp/B07GNQLNJP/ref=sr_1_634?qid=1679218890&s=luggage&sr=1-634,4.3,124,"₹3,399","₹13,000",9278
"VIP Neptune Polycarbonate 8 Wheels Trolley Bag(Blue, Size_68)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41srt-S1uwL._AC_UL320_.jpg,https://www.amazon.in/VIP-Neptune-Polycarbonate-Trolley-Size_68/dp/B0BL7Q9Z8F/ref=sr_1_635?qid=1679218890&s=luggage&sr=1-635,,,"₹6,900","₹13,800",9279
