epoch,train_loss,val_loss,val_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_f1
1,0.31310593000013537,0.22372716385871172,0.826350050001852,0.16189230362864288,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
2,0.22957469094289493,0.20626818574965,0.8277482499351828,0.15194428155808531,0.6809908998988877,0.15436241610738255,0.9913793103448276,0.26713124274099886
3,0.21544947383338459,0.20294108521193266,0.8314544057187303,0.16687181043302093,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
4,0.20849796823442798,0.20198492798954248,0.8355054816845068,0.16851920420963454,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
5,0.20786644783738542,0.2013405840843916,0.8269611837475463,0.1671413538872222,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
6,0.2060815400048478,0.20057350303977728,0.826873217526575,0.16652590568689324,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
7,0.19914513132343553,0.20080440677702427,0.8279126078743656,0.17482112528016097,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
8,0.20266337406961885,0.20006085466593504,0.8355587243971999,0.17559326650157145,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
9,0.20124735570933722,0.2001575194299221,0.8354985369828513,0.17516278665525462,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
10,0.1988318945242934,0.20017430651932955,0.8340447794362754,0.1737016238829704,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
11,0.20208948932281912,0.20017544459551573,0.8302599170339642,0.17280624264849404,0.6804853387259858,0.15415549597855227,0.9913793103448276,0.2668213457076566
12,0.20004996330770727,0.20019262190908194,0.8287390273713842,0.16653185037802615,0.6814964610717897,0.15456989247311828,0.9913793103448276,0.26744186046511625
13,0.2008847612632464,0.2002317700535059,0.8288200488906996,0.1667793435049233,0.6814964610717897,0.15456989247311828,0.9913793103448276,0.26744186046511625
14,0.19726908472302843,0.20024272799491882,0.8288015296862847,0.1652561217146979,0.6814964610717897,0.15456989247311828,0.9913793103448276,0.26744186046511625
15,0.19748091085316383,0.2003089664503932,0.8286163376421348,0.16645789282927403,0.6814964610717897,0.15456989247311828,0.9913793103448276,0.26744186046511625
